,artistName,trackName,plays_count,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
773,Justin Bieber,Beauty And A Beat,7,0.601,0.843,-4.87,0.0593,0.000704,5.27e-05,0.0681,0.534,128.002
774,Glass Animals,Heat Waves (with iann dior),7,0.655,0.716,-5.077,0.0897,0.476,0.0,0.479,0.521,80.813
775,Glass Animals,Heat Waves (with iann dior),7,0.655,0.716,-5.077,0.0897,0.476,0.0,0.479,0.521,80.813
776,Tame Impala,Instant Destiny,7,0.381,0.829,-4.564,0.0598,0.0226,0.000274,0.402,0.509,165.935
777,Tame Impala,Instant Destiny,7,0.381,0.829,-4.564,0.0598,0.0226,0.000274,0.402,0.509,165.935
778,Blood Orange,Hope,7,0.557,0.739,-7.424,0.0378,0.56,0.908,0.0837,0.466,153.093
779,Blood Orange,Hope,7,0.557,0.739,-7.424,0.0378,0.56,0.908,0.0837,0.466,153.093
780,Jamie xx,I Know There's Gonna Be (Good Times),7,0.755,0.554,-11.023,0.0446,0.0563,0.373,0.466,0.374,89.499
781,Jamie xx,I Know There's Gonna Be (Good Times),7,0.755,0.554,-11.023,0.0446,0.0563,0.373,0.466,0.374,89.499
782,Ólafur Arnalds,Loom (feat. Bonobo),7,0.545,0.18,-21.022,0.0337,0.988,0.906,0.0686,0.31,156.694
783,Ólafur Arnalds,Loom (feat. Bonobo),7,0.545,0.18,-21.022,0.0337,0.988,0.906,0.0686,0.31,156.694
784,"Tyler, The Creator",MOMMA TALK,7,0.488,0.59,-6.319,0.247,0.696,0.0,0.661,0.498,96.446
785,"Tyler, The Creator",MOMMA TALK,7,0.488,0.59,-6.319,0.247,0.696,0.0,0.661,0.498,96.446
